trial,num_installed,num_actual,package_installed,package_stats_weeklydownloads,package_stats_dependents
1,1,7,boto3,332766836,NA
2,2,7,urllib3,180056686,NA
3,3,11,requests,156470269,NA
4,4,11,setuptools,149660002,NA
5,5,11,botocore,172547388,NA
6,6,11,charset-normalizer,146338667,NA
7,7,12,typing-extensions,139672159,NA
8,8,27,s3fs,134756242,NA
9,9,31,grpcio-status,120747835,NA
10,10,32,packaing,120950517,NA
11,11,33,s3transfer,115362971,NA
12,12,34,numpy,98111121,NA
13,13,35,pyyaml,90872606,NA
14,14,35,fsspec,89706681,NA
15,15,42,google-api-core,81989893,NA
16,16,45,pandas,76895102,NA
17,17,49,pydantic,84434075,NA
18,18,49,idna,143949119,NA
19,19,56,matplotlib,19727332,NA
20,20,57,certifi,150382491,NA
